,manualDown-AUC,manualDown-F1,RF(RS)-AUC,RF(DEPT-M2)-F1
ant-1.5.csv,0.788,0.292,0.69,0.31
ant-1.6.csv,0.839,0.607,0.68,0.47
ant-1.7.csv,0.831,0.532,0.74,0.57
camel-1.4.csv,0.681,0.344,0.61,0.34
camel-1.6.csv,0.62,0.346,0.62,0.36
ivy-2.0.csv,0.821,0.324,0.74,0.39
jedit-4.1.csv,0.805,0.545,0.75,0.59
jedit-4.2.csv,0.83,0.381,0.76,0.46
jedit-4.3.csv,0.622,0.054,0.66,0.14
log4j-1.2.csv,0.491,0.639,0.64,0.52
lucene-2.4.csv,0.668,0.627,0.63,0.76
poi-2.5.csv,0.697,0.641,0.72,0.81
poi-3.0.csv,0.785,0.717,0.55,0.78
synapse-1.2.csv,0.76,0.589,0.66,0.56
velocity-1.6.csv,0.694,0.552,0.59,0.51
xerces-1.3.csv,0.753,0.386,0.47,0.18
xerces-1.4.csv,0.755,0.728,0.38,0.42
