"","F1.P.0.1","F1.P.0.2","F1.P.0.3","F1.P.0.4","F1.P.0.5","F1.P.0.6","F1.P.0.7","F1.P.0.8","F1.P.0.9","F1.P.1"
"ant-1.7.csv",0.507,0.586,0.532,0.486,0.432,0.395,0.353,0.32,0.293,0.269
"Apache.csv",0.239,0.441,0.59,0.686,0.738,0.748,0.73,0.727,0.691,0.671
"camel-1.6.csv",0.256,0.333,0.32,0.32,0.314,0.298,0.299,0.281,0.271,0.261
"EQ.csv",0.335,0.477,0.593,0.628,0.639,0.687,0.682,0.639,0.6,0.57
"ivy-2.0.csv",0.46,0.444,0.361,0.304,0.259,0.221,0.198,0.176,0.166,0.155
"JDT.csv",0.472,0.548,0.554,0.52,0.46,0.433,0.408,0.371,0.35,0.342
"jEdit-4.3.csv",0.097,0.059,0.04,0.03,0.024,0.02,0.017,0.015,0.021,0.019
"LC.csv",0.18,0.238,0.236,0.212,0.21,0.205,0.205,0.185,0.175,0.17
"log4j-1.2.csv",0.249,0.424,0.542,0.664,0.752,0.81,0.782,0.763,0.738,0.803
"lucene-2.4.csv",0.359,0.497,0.573,0.614,0.62,0.607,0.574,0.583,0.569,0.549
"ML.csv",0.325,0.353,0.349,0.336,0.304,0.28,0.26,0.243,0.242,0.233
"PDE.csv",0.291,0.374,0.374,0.364,0.341,0.309,0.295,0.272,0.256,0.245
"poi-3.0.csv",0.281,0.475,0.614,0.694,0.777,0.801,0.794,0.755,0.72,0.692
"Safe.csv",0.37,0.667,0.632,0.682,0.68,0.655,0.689,0.636,0.611,0.564
"synapse-1.2.csv",0.321,0.518,0.59,0.591,0.573,0.551,0.569,0.545,0.512,0.485
"Tomcat-6.0.csv",0.363,0.369,0.287,0.248,0.213,0.191,0.166,0.149,0.137,0.124
"velocity-1.6.1.csv",0.212,0.415,0.513,0.56,0.538,0.521,0.523,0.517,0.494,0.46
"xalan-2.7.0.csv",0.234,0.419,0.564,0.669,0.74,0.799,0.838,0.832,0.804,0.859
"xerces-1.4.4.csv",0.242,0.396,0.53,0.604,0.676,0.729,0.762,0.758,0.763,0.789
"Zxing.csv",0.255,0.315,0.422,0.505,0.53,0.515,0.494,0.471,0.474,0.456
