"","N","#BUGGY","#buggyrate","#bugs"
"JURECZKO-ant-1.5.csv",293,32,0.109215017064846,32
"JURECZKO-ant-1.6.csv",351,92,0.262108262108262,92
"JURECZKO-ant-1.7.csv",745,166,0.222818791946309,166
"JURECZKO-camel-1.4.csv",872,145,0.166284403669725,145
"JURECZKO-camel-1.6.csv",965,188,0.194818652849741,188
"JURECZKO-ivy-2.0.csv",352,40,0.113636363636364,40
"JURECZKO-jedit-4.1.csv",312,79,0.253205128205128,79
"JURECZKO-jedit-4.2.csv",367,48,0.130790190735695,48
"JURECZKO-jedit-4.3.csv",492,11,0.0223577235772358,11
"JURECZKO-log4j-1.2.csv",205,189,0.921951219512195,189
"JURECZKO-lucene-2.4.csv",340,203,0.597058823529412,203
"JURECZKO-poi-2.5.csv",385,248,0.644155844155844,248
"JURECZKO-poi-3.0.csv",442,281,0.635746606334842,281
"JURECZKO-synapse-1.2.csv",256,86,0.3359375,86
"JURECZKO-velocity-1.6.csv",229,78,0.34061135371179,78
"JURECZKO-xerces-1.3.csv",453,69,0.152317880794702,69
"JURECZKO-xerces-1.4.csv",588,437,0.743197278911565,437
