,manualDown-AUC,manualDown-F1,DH-CNN-AUC,DH-CNN-F1
camel-1.4-->ant-1.6.csv,0.839,0.607,0.691,0.675
lucene-2.2-->ant-1.6.csv,0.839,0.607,0.658,0.669
ant-1.6-->camel-1.4.csv,0.681,0.344,0.574,0.522
jedit-4.1-->camel-1.4.csv,0.681,0.344,0.551,0.462
camel-1.4-->jedit-4.1.csv,0.805,0.545,0.773,0.466
xalan-2.4-->jedit-4.1.csv,0.805,0.545,0.669,0.535
ant-1.6-->log4j-1.1.csv,0.799,0.681,0.682,0.709
lucene-2.0-->log4j-1.1.csv,0.799,0.681,0.812,0.744
log4j-1.1-->lucene-2.0.csv,0.734,0.638,0.655,0.668
xalan-2.5-->lucene-2.0.csv,0.734,0.638,0.685,0.564
synapse-1.1-->poi-3.0.csv,0.785,0.717,0.571,0.537
ant-1.6-->poi-3.0.csv,0.785,0.717,0.572,0.398
poi-2.5-->synapse-1.2.csv,0.76,0.589,0.611,0.622
xerces-1.2-->synapse-1.2.csv,0.76,0.589,0.717,0.482
xerces-1.2-->xalan-2.5.csv,0.651,0.607,0.725,0.398
lucene-2.2-->xalan-2.5.csv,0.651,0.607,0.568,0.502
poi-2.5-->xerces-1.3.csv,0.753,0.386,0.658,0.611
synapse-1.1-->xerces-1.3.csv,0.753,0.386,0.579,0.563
