"","AUC"
"JURECZKO-ant-1.5.csv",0.788
"JURECZKO-ant-1.6.csv",0.839
"JURECZKO-ant-1.7.csv",0.831
"JURECZKO-camel-1.2.csv",0.557
"JURECZKO-camel-1.4.csv",0.681
"JURECZKO-camel-1.6.csv",0.62
"JURECZKO-jedit-3.2.csv",0.774
"JURECZKO-jedit-4.0.csv",0.766
"JURECZKO-jedit-4.1.csv",0.805
"JURECZKO-log4j-1.0.csv",0.794
"JURECZKO-log4j-1.1.csv",0.799
"JURECZKO-lucene-2.0.csv",0.734
"JURECZKO-lucene-2.2.csv",0.632
"JURECZKO-lucene-2.4.csv",0.668
"JURECZKO-poi-1.5.csv",0.723
"JURECZKO-poi-2.5.csv",0.697
"JURECZKO-poi-3.0.csv",0.785
"JURECZKO-synapse-1.1.csv",0.679
"JURECZKO-synapse-1.2.csv",0.76
"JURECZKO-xalan-2.4.csv",0.803
"JURECZKO-xalan-2.5.csv",0.651
"JURECZKO-xalan-2.6.csv",0.787
"JURECZKO-xerces-1.2.csv",0.483
"JURECZKO-xerces-1.3.csv",0.753
