"","MCC.P.0.1","MCC.P.0.2","MCC.P.0.3","MCC.P.0.4","MCC.P.0.5","MCC.P.0.6","MCC.P.0.7","MCC.P.0.8","MCC.P.0.9","MCC.P.1"
"JURECZKO-ant-1.5.csv",0.287,0.348,0.299,0.228,0.22,0.243,0.206,0.149,0.118,NA
"JURECZKO-ant-1.6.csv",0.299,0.465,0.502,0.507,0.455,0.396,0.321,0.268,0.201,NA
"JURECZKO-ant-1.7.csv",0.405,0.49,0.453,0.412,0.388,0.332,0.295,0.227,0.168,NA
"JURECZKO-camel-1.2.csv",0.1,0.06,0.078,0.068,0.055,0.033,0.053,0.046,0.076,NA
"JURECZKO-camel-1.4.csv",0.18,0.216,0.179,0.196,0.169,0.176,0.178,0.131,0.129,NA
"JURECZKO-camel-1.6.csv",0.142,0.133,0.141,0.106,0.116,0.108,0.14,0.115,0.086,NA
"JURECZKO-jedit-3.2.csv",0.211,0.394,0.362,0.387,0.391,0.368,0.377,0.296,0.213,NA
"JURECZKO-jedit-4.0.csv",0.272,0.4,0.444,0.374,0.281,0.25,0.241,0.193,0.166,NA
"JURECZKO-jedit-4.1.csv",0.349,0.449,0.426,0.401,0.361,0.296,0.318,0.256,0.148,NA
"JURECZKO-log4j-1.0.csv",0.331,0.392,0.408,0.432,0.346,0.3,0.272,0.205,0.197,NA
"JURECZKO-log4j-1.1.csv",0.309,0.387,0.431,0.452,0.491,0.432,0.304,0.216,0.112,NA
"JURECZKO-lucene-2.0.csv",0.247,0.329,0.336,0.327,0.303,0.323,0.37,0.262,0.181,NA
"JURECZKO-lucene-2.2.csv",0.111,0.174,0.23,0.166,0.153,0.196,0.192,0.167,0.206,NA
"JURECZKO-lucene-2.4.csv",0.154,0.216,0.224,0.23,0.186,0.211,0.208,0.204,0.226,NA
"JURECZKO-poi-1.5.csv",0.096,0.216,0.277,0.318,0.323,0.377,0.333,0.29,0.293,NA
"JURECZKO-poi-2.5.csv",0.119,0.168,0.236,0.197,0.188,0.268,0.316,0.401,0.398,NA
"JURECZKO-poi-3.0.csv",0.157,0.236,0.299,0.337,0.371,0.475,0.467,0.394,0.305,NA
"JURECZKO-synapse-1.1.csv",0.239,0.283,0.27,0.253,0.203,0.167,0.201,0.155,0.14,NA
"JURECZKO-synapse-1.2.csv",0.24,0.37,0.425,0.367,0.331,0.28,0.322,0.277,0.184,NA
"JURECZKO-xalan-2.4.csv",0.284,0.319,0.371,0.37,0.324,0.284,0.244,0.183,0.116,NA
"JURECZKO-xalan-2.5.csv",0.153,0.18,0.214,0.205,0.228,0.215,0.224,0.172,0.116,NA
"JURECZKO-xalan-2.6.csv",0.327,0.429,0.405,0.396,0.429,0.404,0.363,0.301,0.213,NA
"JURECZKO-xerces-1.2.csv",0.122,0.09,0.023,0.033,-0.031,-0.083,-0.117,-0.074,-0.06,NA
"JURECZKO-xerces-1.3.csv",0.229,0.282,0.248,0.306,0.277,0.26,0.224,0.167,0.102,NA
