,manualDown-AUC,manualDown-MCC,DSSDPP-AUC,DSSDPP-MCC
Apache.csv,0.776,0.474,0.737,0.377
CM1.csv,0.722,0.202,0.733,0.2
eclipse-metrics-packages-2.0.csv,0.791,0.448,0.794,0.478
eclipse-metrics-packages-2.1.csv,0.733,0.343,0.712,0.326
eclipse-metrics-packages-3.0.csv,0.775,0.392,0.744,0.376
EQ.csv,0.781,0.359,0.777,0.403
JDT.csv,0.781,0.293,0.817,0.474
JM1.csv,0.663,0.192,0.662,0.238
KC3.csv,0.656,0.133,0.714,0.19
LC.csv,0.655,0.11,0.794,0.269
MC1.csv,0.682,0.087,0.705,0.121
MC2.csv,0.672,0.207,0.644,0.239
ML.csv,0.692,0.18,0.661,0.169
MW1.csv,0.744,0.168,0.756,0.232
pc1.csv,0.754,0.187,0.775,0.2
PC2.csv,0.562,-0.018,0.86,0.208
pc3.csv,0.696,0.192,0.745,0.248
PC4.csv,0.65,0.17,0.715,0.242
PC5.csv,0.713,0.256,0.703,0.26
PDE.csv,0.717,0.226,0.746,0.285
Safe.csv,0.834,0.439,0.852,0.439
Zxing.csv,0.661,0.276,0.666,0.179
